id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7442,62,96,302,303,,122,,121,,2025-11-03 00:49:29.326869+00,
7443,62,96,302,303,,123,,119,,2025-11-03 00:49:29.426006+00,
7444,62,96,302,303,,123,,124,,2025-11-03 00:49:29.532959+00,
7445,62,96,302,303,,123,,121,,2025-11-03 00:49:29.632062+00,
7446,62,96,303,304,,122,,119,,2025-11-03 00:49:29.730517+00,
7447,62,96,303,304,,122,,121,,2025-11-03 00:49:29.833134+00,
7448,62,96,303,304,,123,,119,,2025-11-03 00:49:29.94034+00,
7449,62,96,303,304,,123,,121,,2025-11-03 00:49:30.043188+00,
7450,62,96,304,305,,,,119,,2025-11-03 00:49:30.148047+00,
7451,62,96,304,305,,,,121,,2025-11-03 00:49:30.251803+00,
7452,62,96,304,305,,,,116,,2025-11-03 00:49:30.364914+00,
7453,62,96,304,305,,,,81,,2025-11-03 00:49:30.480058+00,
7454,62,96,304,305,,,,80,,2025-11-03 00:49:30.583107+00,
7455,62,96,305,307,,113,,119,,2025-11-03 00:49:30.687239+00,
7456,62,96,305,307,,114,,119,,2025-11-03 00:49:30.786789+00,
7457,62,96,305,307,,111,,81,,2025-11-03 00:49:30.88772+00,
7458,62,96,305,307,,172,,81,,2025-11-03 00:49:30.992795+00,
7459,62,96,306,308,,111,,119,,2025-11-03 00:49:31.094493+00,
7460,62,96,306,308,,112,,119,,2025-11-03 00:49:31.197677+00,
7461,62,96,306,308,,104,,81,,2025-11-03 00:49:31.304449+00,
7462,62,96,306,308,,105,,81,,2025-11-03 00:49:31.406927+00,
7463,62,96,306,308,,113,,80,,2025-11-03 00:49:31.508421+00,
7464,62,96,306,308,,114,,80,,2025-11-03 00:49:31.623073+00,
7465,62,96,307,306,,113,,119,,2025-11-03 00:49:31.726677+00,
7466,62,96,307,306,,114,,119,,2025-11-03 00:49:31.824269+00,
7467,62,96,307,306,,113,,80,,2025-11-03 00:49:31.925592+00,
7468,62,96,307,306,,114,,80,,2025-11-03 00:49:32.028562+00,
7469,62,96,307,306,,111,,81,,2025-11-03 00:49:32.132105+00,
7470,62,96,307,306,,112,,81,,2025-11-03 00:49:32.234499+00,
7471,62,96,309,309,,,,127,,2025-11-03 00:49:32.336461+00,
7472,62,96,309,309,,125,,119,,2025-11-03 00:49:32.436265+00,
7473,62,96,309,309,,125,,121,,2025-11-03 00:49:32.536965+00,
7474,62,96,309,309,,125,,117,,2025-11-03 00:49:32.636521+00,
7475,62,96,309,309,,125,,126,,2025-11-03 00:49:32.740582+00,
7476,62,96,309,309,,126,,119,,2025-11-03 00:49:32.847031+00,
7477,62,96,309,309,,126,,121,,2025-11-03 00:49:32.946154+00,
7478,62,96,309,309,,126,,117,,2025-11-03 00:49:33.048995+00,
7479,62,96,309,309,,126,,126,,2025-11-03 00:49:33.15472+00,
7480,62,96,309,309,,104,108,127,,2025-11-03 00:49:33.258406+00,
7481,62,96,309,309,,105,109,127,,2025-11-03 00:49:33.360976+00,
