和名,学名,分布,深さ,体長,description
チャトラネコジタウミウシ,Goniodoris sp.3,西太平洋,7m,8~12mm,体は黄色から褐色で、触角の柄と鰓は白みを帯びた半透明。触角先端、口触手は暗褐色。背面周縁のヒダ状突起は通常膨らみをもつが薄くなることもある。千葉大学の標本に基づき、茶トラの猫を思わせる体色から新称チャトラネコジタウミウシを提唱する。12mmに達する。
コトヒメウミウシ,Goniodoridella savigny,西太平洋,10m,8~10mm,体は白色や黄色を帯びた半透明。背面縁と触角間から鰓に至る正中線上に黄色のヒダがある。頭部前縁のヒダは黄色。触角は平滑で白色。背面後部に数本の長い突起がある。10mmに達する。
カイヒメウミウシ,Goniodoridella sp.1,西太平洋,5m,8~8mm,体はクリーム色で、褐色の不定形斑紋が体表を覆う。頭部前端の触角は白色から褐色のまだら模様でときにすべて褐色。鰓後部の突起2対は大きくなることがある。頭部前端の上下に褐色の帯がある。8mmに達する。
ツルヒメウミウシ,Goniodoridella sp.2,日本,10m,6~8mm,体地色は黄色みをわずかに帯びた白色。体表全体に褐色細点を散布しており、一部集合して斑紋を形成することがある。触角と体後部の突起、頭部前縁にある一対の小さな突起の先端は黄色。背側縁、頭縁のヒダはわずかに厚みをもつ。8mmに達する。
ヒメイバラウミウシ,Okenia plana,西太平洋,2m,14~10mm,体は黄白色で褐色細点と白色細点が全体を覆う。背面の突起は左右一列で各列５本、さらに鰓の直前に１本。転石裏面のコケムシを摂食。過去の本ではナガヒゲイバラウミウシとされていた場合もある。10mmに達する。
ナガヒゲイバラウミウシ,Okenia pilosa,西太平洋,5m,15~10mm,体は白っぽい半透明で、褐色細点と白色細点が全体を覆う。背面では白色細点が網目状に配列する。背面の突起はヒメイバラウミウシに比べはるかに多く、２列ではない。和名は奥谷（2017）による。過去の本ではトノイバラウミウシという異名もある。10mmに達する。
ツノウミウシ,Okenia rhinorma,インド-太平洋,7m,6~10mm,体は白色で黒褐色や橙色、褐色の不定形斑紋があるが、これらの一部を欠くことがある。背面縁のヒダ状隆起から3対の突起が生じている。鰓と触角とが近接している。鰓後部に黒褐色細点が集まり斑紋をなすことが多い。10mmに達する。
コハナイバラウミウシ,Okenia babai,伊豆半島以南、九州,3m,5~10mm,体は白っぽい半透明で、背面にはわずかな橙色紋と多くの緑色紋がある。鰓の軸と触角前縁、尾の上にも橙色紋がある。10mmに達する。
ヒロウミウシ,Okenia hiroi,西太平洋,6m,20~10mm,体は紅色で背面突起は先端にいくほど淡くなり、先端は白色。触角と鰓は紅色。背面の突起は長く数多い。10mmに達する。
ミナミヒロウミウシ,Okenia nakamotoensis,インド-西太平洋,6m,20~30mm,体は紅色で背面突起は基部が白色、上部は紅色。背面突起は左右5対と鰓の前に1本。触角と鰓は紅色。30mmに達する。
アカイバラウミウシ,Okenia kondoi,西太平洋,7m,5~15mm,体は紅色で背面突起は基部が白色、上部は紅色。背面突起は左右4対で鰓の前に1本。触角と鰓は紅色。近似のミナミヒロウミウシとは突起の本数で識別できる。頭部前縁は広がっている。15mmに達する。
クロイバラウミウシ,Okenia echinata,伊豆半島以南、九州,10m,6~10mm,体は白みを帯びた半透明で、背面は赤茶色。体全体に白色細点を散布している。鰓と触角先端は白色。背面縁、背面、頭部縁には多数の突起がある。10mmに達する。
シロイバラウミウシ,Okenia japonica,本州から九州、香港,10m,8~10mm,体は白みを帯びた半透明で、突起や背面の縁に白色色素が集まるが全体に白い個体も多い。背面縁、頭縁には突起が並び、鰓の前にも１本の突起がある。触角、尾は長い。10mmに達する。
イバラウミウシ,Okenia barnardi,日本、香港,7m,6~10mm,体は白みを帯びた半透明で、全体が白色細点で覆われる。背面は褐色で中央部は淡色。外套縁は多数の突起が並ぶ。鰓直前にも１本の突起がある。触角と鰓は先端が褐色。10mmに達する。
ムツイバラウミウシ,Okenia distincta,本州から九州,20m,7~10mm,体は白みやわずかに黄色を帯びた半透明で、褐色紋が体全体に散るが背面に多い。背面周縁、頭部縁、背面に多くの突起がある。それらに比べて触角は長い。鰓は体と同色、触角の同色だが基部近くは褐色紋が入ることが多い。10mmに達する。
セスジイバラウミウシ,Okenia pellucida,インド-太平洋,10m,4~20mm,体は白みを帯びた半透明で、褐色の網目状斑紋がほぼ全体を覆う。外套縁にやや短く白みの強い突起が並ぶ。触角は長く先端は白色。20mmに達する。
リクリクイバラウミウシ,Okenia liklik,西太平洋,6m,4~7mm,体はほぼ透明で、外套縁はピンク色。このピンク色が濃くなり紫色になる個体も見られる。背面中央には大きな蛋白色斑があり、一部赤褐色斑で縁取られる。背面周縁にはピンク色の突起が並び、先端は黄色で褐色紋をもつことがある。触角は長大で先端が黄色。7mmに達する。
シオンイバラウミウシ,Okenia purpureolineata,沖縄島、フィリピン,60m,12~15mm,体は淡い紫色を帯びた白色で、紫色線がやや乱れて背面を縦走する。触角は黄褐色、鰓は体と同色。頭縁から背面縁には7対の長い突起がある。背面正中線上の鰓の前に2本の突起がある。口触手は長い。本邦では49〜55mから採集された。15mmに達する。
オケニア・ランバット,Okenia lambat,西太平洋,5m,7~7mm,体は白みを帯びた半透明で、頭部から背面を通り、尾に至る網目模様の褐色斑がある。触角、背面周縁の突起は淡黄色で褐色の斑紋がまだらに入る。7mmに達する。
トレニアウミウシ,Okenia sp.1,伊豆半島から南西諸島,7m,3~10mm,体地色はほぼ透明で、淡いピンク色の色帯が背面周縁から頭部に至る。背面中央にもピンク色の色帯があり白色線で縁取られる。背面縁は鋸歯状で蛋白色で縁取られる。頭部前縁の一対の突起は黄褐色。過去の本ではコトヒメウミウシ属に分類されていた場合もあるが本種は触角褶葉をもつ。10mmに達する。
セナキイバラウミウシ,Okenia sp.2,西太平洋,10m,15~10mm,体は白みを帯びた半透明で、黄色の斑紋が外套を覆う。外套上、外套縁の突起は白色。触角は下半分が黄色で、上半分は白色。10mmに達する。
アミメイバラウミウシ,Okenia sp.3,西太平洋,15m,7~10mm,体は網目状に白色のすじの入った赤褐色斑紋で覆われる。触角褶葉の下部、背面突起の基部は白色。背面周縁には突起が並び、鰓の前にも1本生じている。それぞれの突起には白色点が散布する。10mmに達する。
オニイバラウミウシ,Okenia sp.4,本州から南西諸島,15m,8~10mm,体は黄色から橙色で、突起は先端から黒色、白色、橙色となるがときに白色域を欠くこともある。突起は背面全周、鰓の前に2対生じている。背面には黒色紋が散在し、この一部は白色線で縁取られる。10mmに達する。
メデタヤイバラウミウシ,Okinia sp.5,本州から九州,35m,7~8mm,体地色は白みを帯びた半透明で、背面中央は白色で赤色線で縁取られる。背面中央の白色域の突起は白色。背面周縁は白みを帯びた半透明で突起のみ蛋白色。鰓と触角は赤色。8mmに達する。
ダーベルウミウシ,Trapania darvelli,西太平洋,10m,10~13mm,体は白色。触角両側部と鰓両側部の突起、口触手は先端が褐色で、ぼけた小白斑がある。触角褶葉と鰓も褐色で、ぼけた小白斑がある。13mmに達する。
カゴメウミウシ,Trapania toddi,西太平洋,15m,9~10mm,体は白みを帯びた半透明で、白色点を散布した褐色斑が全体にある。この褐色斑はおおむね配置が決まっており左右対称に近い。口触手は白色。鰓と触角褶葉は白色地に褐色色素を散らす。鰓と触角両側の突起、口触手、触角、尾は黄色になるが多寡がある。10mmに達する。
アカスジツガルウミウシ,Trapania vitta,西太平洋,14m,10~12mm,体は白色で鰓の軸と触角先端、尾の正中線上、口触手、前足隅が橙色になる。キンスジツガルウミウシとは両触角外側と鰓両側の突起が白色であることで識別できる。12mmに達する。
アオモンツガルウミウシ,Trapania palmula,西太平洋,25m,9~8mm,体は乳白色で褐色細点を密に散布する。白色細点を散布した不定形の褐色斑が主に体側を覆う。両触角の外側の突起と鰓両側の突起には黄白色で縁取られた青色紋がある。尾の上面は蛋白色。8mmに達する。
ウロコツガルウミウシ,Trapania squama,西太平洋,12m,7~10mm,体は蛋白色で、暗褐色の斑紋が大きな輪状の模様を描く。鰓と触角はやや褐色を帯び、大きい。10mmに達する。
